आजको खबर के छ?	What's the news today?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम William हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is William. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम William हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is William. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम William हो। मैले इटली बाट आएको हुँ।	Hello, my name is William. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम William हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is William. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम William हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is William. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम William हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is William. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम William हो। मैले भारत बाट आएको हुँ।	Hello, my name is William. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम William हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is William. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
